kpi_name,current_value,target_value,trend,last_quarter,variance_percentage,board_priority,action_required,next_review_date
Cyber Risk Score,65.0,50.0,Improving,72.0,-9.7,High,Continue current strategy,2025-12-15
Security ROI,22.1,25.0,Improving,18.5,19.5,Medium,Increase automation,2025-12-15
Incident Response Time,18.0,12.0,Improving,24.0,-25.0,High,Enhance processes,2025-12-15
Compliance Score,92.0,95.0,Stable,90.0,2.2,Critical,Address gaps,2025-12-15
Security Maturity,3.8,4.2,Improving,3.5,8.6,Medium,Continue roadmap,2025-12-15
Budget Utilization,98.4,95.0,Stable,96.2,2.3,Low,Monitor spending,2025-12-15
Staff Retention,92.0,90.0,Stable,89.0,3.4,Medium,Maintain programs,2025-12-15
Training Completion,95.0,90.0,Excellent,88.0,7.9,Low,Sustain momentum,2025-12-15
Vulnerability Patching,93.0,95.0,Improving,85.0,9.4,High,Accelerate process,2025-12-15
Third-party Risk,4.1,4.5,Improving,3.8,7.9,Medium,Enhance assessments,2025-12-15
Business Continuity,96.0,98.0,Improving,92.0,4.3,High,Test scenarios,2025-12-15
Customer Trust Score,87.0,90.0,Stable,85.0,2.4,High,Improve transparency,2025-12-15
